week,Unnamed: 0,Unnamed: 0.1,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,distance_km,cumulative_distance_km
22,980,980,28500.0,170.0,2997099.0,17664.960000000003,294.41599999999994,2.947893333333334,15,14140,28.5,2997.099
59,3204,3204,28579.0,167.59,7094816.0,39947.400000000016,665.7900000000001,6.665766666666666,88,16160,28.579,7094.816000000001
31,1421,1421,30290.0,166.0,4143969.0,23968.47,399.4744999999999,3.999411666666667,31,14140,30.29,4143.969
32,1470,1470,30700.0,164.0,4427709.0,25471.47,424.52449999999993,4.249911666666667,35,14140,30.700000000000003,4427.709
17,728,728,30800.0,179.36,1860199.0,10634.660000000002,177.24433333333332,1.7749099999999998,7,14140,30.8,1860.1989999999996
8,287,287,31000.0,162.29,989699.0,5205.760000000001,86.76266666666666,0.8694933333333332,77,14133,31.0,989.699
92,4396,4396,31400.0,174.49,13337848.0,76116.26999999997,1268.6044999999997,12.714845,42,14147,31.4,13337.848000000002
121,5789,5789,31451.0,249.92999999999998,16886763.0,99650.68999999996,1660.8448333333329,16.543166666666668,7,14154,31.451,16886.763
58,2751,2751,31880.0,172.07,6018819.0,33868.81000000001,564.4801666666666,5.651135000000001,77,14140,31.88,6018.819
124,5936,5936,32046.0,222.6,17321856.0,102649.63999999994,1710.827333333333,17.040833333333335,7,14154,32.046,17321.856
125,5985,5985,32151.0,214.10000000000002,17558893.0,104263.27999999996,1737.7213333333332,17.308666666666667,13,14154,32.151,17558.893
20,875,875,32200.0,187.7,2512899.0,14523.859999999999,242.0643333333333,2.4239100000000002,14,14140,32.2,2512.899
129,6181,6181,32931.0,213.10000000000002,18223934.0,108619.71999999994,1810.3286666666663,18.031,20,14154,32.931,18223.934
57,2702,2702,33080.0,197.0,5796379.0,32625.44000000001,543.7573333333333,5.44364,71,14140,33.08,5796.379
21,1060,1060,33500.0,241.55,3158256.0,18519.94,308.6656666666666,3.0905233333333335,16,16160,33.5,3158.2560000000003
138,6622,6622,34192.0,229.24999999999997,19197959.0,115127.08999999997,1918.784833333335,19.111,35,14154,34.192,19197.959000000003
75,3556,3556,34230.0,191.16000000000003,9673830.0,54378.600000000006,906.3099999999998,9.081633333333333,14,14147,34.23,9673.83
62,2912,2912,34600.0,186.34,6620004.0,37258.55,620.9758333333334,6.218558333333333,77,14140,34.6,6620.004000000001
64,3017,3017,34870.0,179.68,7021674.0,39457.07000000001,657.6178333333336,6.586445,84,14140,34.870000000000005,7021.674
68,3213,3213,35003.0,197.22000000000003,7710085.0,43266.55,721.1091666666666,7.223825,7,14147,35.003,7710.084999999999
128,6132,6132,35570.0,237.02000000000004,17982667.0,107047.37999999996,1784.1229999999998,17.770166666666668,14,14154,35.57,17982.666999999998
77,3654,3654,36022.0,193.16,10238453.0,57481.98000000001,958.0329999999996,9.600996666666665,21,14147,36.022000000000006,10238.453
16,679,679,36200.0,222.4,1643999.0,9363.94,156.06566666666666,1.5629899999999997,7,14140,36.2,1643.9989999999998
18,777,777,38000.0,225.0,2093699.0,11986.460000000001,199.77433333333332,2.0005433333333333,9,14140,38.0,2093.6989999999996
69,3262,3262,39102.0,214.38,7975311.0,44746.700000000004,745.7783333333332,7.471516666666666,7,14147,39.102000000000004,7975.311
76,3605,3605,39842.0,217.29,9927303.0,55813.99000000001,930.2331666666662,9.321998333333333,21,14147,39.842000000000006,9927.303
83,3948,3948,40007.0,228.38,11153989.0,63145.330000000016,1052.422166666666,10.547488333333334,28,14147,40.007,11153.989000000001
82,3899,3899,40230.0,319.65999999999997,10887185.0,61167.45,1019.4574999999995,10.217308333333333,28,14147,40.230000000000004,10887.185000000001
70,3311,3311,40962.0,230.04,8221294.0,46156.509999999995,769.2751666666665,7.707484999999999,7,14147,40.962,8221.294
89,4242,4242,40983.0,233.9,12550609.0,71344.69999999998,1189.078333333333,11.917183333333334,41,14147,40.983000000000004,12550.609
71,3360,3360,44002.0,279.99,8516550.0,47786.43,796.4404999999997,7.979938333333333,7,14147,44.001999999999995,8516.55
88,4193,4193,44597.0,267.13,12226302.0,69412.73999999999,1156.8789999999995,11.594389999999999,35,14147,44.596999999999994,12226.302000000001
72,3409,3409,46009.0,249.32,8830581.0,49732.03,828.8671666666664,8.304805,14,14147,46.009,8830.581
86,4095,4095,46804.0,310.32000000000005,11832094.0,67087.58999999997,1118.1264999999996,11.205798333333334,35,14147,46.804,11832.094
74,3507,3507,50090.0,275.85,9335310.0,52538.78,875.6463333333331,8.774329999999999,14,14147,50.09,9335.31
90,4908,4908,62840.0,402.07,14687632.0,83570.24999999997,1392.8374999999996,13.959375,48,16168,62.84,14687.632000000001
93,4445,4445,84310.0,877.08,13583948.0,78323.72999999998,1305.3954999999994,13.083288333333334,46,14147,84.31,13583.948
